ward,code,qualification,crime_rate,employment
Redbridge - Loxford,E05000507,31.1,86.2,53.5
Redbridge - Mayfield,E05000508,29.9,52.5,63.5
Redbridge - Monkhams,E05000509,41.6,48.1,76.2
Redbridge - Newbury,E05000510,33.4,54.9,63.2
Redbridge - Roding,E05000511,37,50.3,73.8
Redbridge - Seven Kings,E05000512,31.7,87.3,60.1
Redbridge - Snaresbrook,E05000513,50.1,51.8,78.1
Redbridge - Valentines,E05000514,36.9,104.5,60.6
Redbridge - Wanstead,E05000515,45.3,71.8,74.5
Richmond upon Thames - Barnes,E05000516,57.5,55.7,72.3
Richmond upon Thames - East Sheen,E05000517,61.6,48.7,78.2
Richmond upon Thames - Fulwell and Hampton Hill,E05000518,52.8,44.7,79.6
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",E05000519,46,56,73.4
Richmond upon Thames - Hampton,E05000520,47.2,49.7,77.2
Richmond upon Thames - Hampton North,E05000521,36.3,47.9,73.5
Richmond upon Thames - Hampton Wick,E05000522,53.6,46.2,73.1
Richmond upon Thames - Heathfield,E05000523,29.8,55.3,70.8
Richmond upon Thames - Kew,E05000524,62,56.7,77.1
Richmond upon Thames - Mortlake and Barnes Common,E05000525,57.6,64.1,77.9
Richmond upon Thames - North Richmond,E05000526,59,58.6,78.4
Richmond upon Thames - St. Margarets & North Twickenham,E05000527,62.6,58.3,80.8
Richmond upon Thames - South Richmond,E05000528,63.6,110.7,76
Richmond upon Thames - South Twickenham,E05000529,55.3,35.3,76.8
Richmond upon Thames - Teddington,E05000530,58.5,46.4,79.9
Richmond upon Thames - Twickenham Riverside,E05000531,63.8,66.7,80.7
Richmond upon Thames - West Twickenham,E05000532,45.1,55.2,79.5
Richmond upon Thames - Whitton,E05000533,36.9,49.6,76.5
Southwark - Brunswick Park,E05000534,41.5,104.8,66.8
Southwark - Camberwell Green,E05000535,34.3,111.2,64.6
Southwark - Cathedrals,E05000536,45.8,184.9,62.9
Southwark - Chaucer,E05000537,48.8,114.4,66.4
Southwark - College,E05000538,48.7,73.3,71.1
Southwark - East Dulwich,E05000539,56.5,60.3,79.2
Southwark - East Walworth,E05000540,32.4,159.3,62.5
Southwark - Faraday,E05000541,28.6,97.4,62.3
Southwark - Grange,E05000542,46.3,106.2,69.1
Southwark - Livesey,E05000543,27.9,98.2,60.3
Southwark - Newington,E05000544,37.5,110.4,66.3
Southwark - Nunhead,E05000545,34.8,68.7,65
Southwark - Peckham,E05000546,30.6,95.7,61.2
Southwark - Peckham Rye,E05000547,49.7,56.5,74.9
Southwark - Riverside,E05000548,54.9,101.9,74.9
Southwark - Rotherhithe,E05000549,43,97.5,69.3
Southwark - South Bermondsey,E05000550,30.9,103.3,64.8
Southwark - South Camberwell,E05000551,49,52.2,70.7
Southwark - Surrey Docks,E05000552,56,53.7,77.7
Southwark - The Lane,E05000553,42,138.1,68.9
Southwark - Village,E05000554,63.7,57.5,77.2
Sutton - Beddington North,E05000555,25.1,59.6,77.2
Sutton - Beddington South,E05000556,26.7,52.9,69.1
Sutton - Belmont,E05000557,40.4,35.6,76.2
Sutton - Carshalton Central,E05000558,35.7,44.4,78.6
Sutton - Carshalton South and Clockhouse,E05000559,34.8,34.1,76.5
Sutton - Cheam,E05000560,38.6,33.9,76.4
Sutton - Nonsuch,E05000561,27.1,44.4,79.1
Sutton - St. Helier,E05000562,17.7,71.9,69.6
Sutton - Stonecot,E05000563,22.5,48.5,77.9
Sutton - Sutton Central,E05000564,31.2,158.4,75.6
Sutton - Sutton North,E05000565,25.7,46.1,75.6
Sutton - Sutton South,E05000566,41.6,42.5,78.1
Sutton - Sutton West,E05000567,38.6,33.8,79.3
Sutton - The Wrythe,E05000568,23.2,61.4,77.5
Sutton - Wallington North,E05000569,30.3,50.6,76.8
Sutton - Wallington South,E05000570,32,50.5,74.2
Sutton - Wandle Valley,E05000571,21.5,65.6,72
Sutton - Worcester Park,E05000572,30.8,44.6,78.9
Tower Hamlets - Bethnal Green North,E05000573,40.2,119,64.6
Tower Hamlets - Bethnal Green South,E05000574,35.5,121.3,55.9
Tower Hamlets - Blackwall and Cubitt Town,E05000575,50.8,60.3,70.8
Tower Hamlets - Bow East,E05000576,42,98.9,68.9
Tower Hamlets - Bow West,E05000577,43.6,98.5,66.3
Tower Hamlets - Bromley-by-Bow,E05000578,27.9,79.3,55.1
Tower Hamlets - East India and Lansbury,E05000579,23.4,108.4,52.9
Tower Hamlets - Limehouse,E05000580,37.4,88.8,64
Tower Hamlets - Mile End and Globe Town,E05000581,34.2,86.6,55.4
Tower Hamlets - Mile End East,E05000582,31.9,87.3,56.1
Tower Hamlets - Millwall,E05000583,57.2,74.4,73.6
Tower Hamlets - St. Dunstan's and Stepney Green,E05000584,29.9,78.5,55.4
Tower Hamlets - St. Katherine's and Wapping,E05000585,57.8,96,76.5
Tower Hamlets - Shadwell,E05000586,37.7,86.9,60.7
Tower Hamlets - Spitalfields and Banglatown,E05000587,44.4,188.8,60.9
Tower Hamlets - Weavers,E05000588,43.9,136.8,67
Tower Hamlets - Whitechapel,E05000589,45,105.3,65
Waltham Forest - Cann Hall,E05000590,30.5,61.2,63.8
Waltham Forest - Cathall,E05000591,28.6,64.2,62.7
Waltham Forest - Chapel End,E05000592,29.3,73,68.9
Waltham Forest - Chingford Green,E05000593,27.1,69,73.4
Waltham Forest - Endlebury,E05000594,24.7,43.9,70.4
Waltham Forest - Forest,E05000595,33.3,81.6,65.2
Waltham Forest - Grove Green,E05000596,34.8,52.4,70.3
Waltham Forest - Hale End and Highams Park,E05000597,28.9,52.1,71.1
Waltham Forest - Hatch Lane,E05000598,24.1,64.4,69.9
Waltham Forest - High Street,E05000599,35.7,151.3,69.4
Waltham Forest - Higham Hill,E05000600,24.7,67.7,62.6
Waltham Forest - Hoe Street,E05000601,36.4,87.4,66.1
Waltham Forest - Larkswood,E05000602,21.6,61.8,69.6
Waltham Forest - Lea Bridge,E05000603,26.6,98.4,62.8
Waltham Forest - Leyton,E05000604,28.5,88.2,61.5
Waltham Forest - Leytonstone,E05000605,40.8,89.8,70.3
Waltham Forest - Markhouse,E05000606,30.9,72.3,64.2
Waltham Forest - Valley,E05000607,20.2,104.1,68.1
Waltham Forest - William Morris,E05000608,33.6,55.6,68.1
Waltham Forest - Wood Street,E05000609,33,74,66.2
Wandsworth - Balham,E05000610,67.6,78,83
Wandsworth - Bedford,E05000611,61.1,53.7,80
Wandsworth - Earlsfield,E05000612,53.8,66.1,79
Wandsworth - East Putney,E05000613,62.9,42.6,81.7
Wandsworth - Fairfield,E05000614,62.8,83.6,83.9
Wandsworth - Furzedown,E05000615,41,58.6,70.6
Wandsworth - Graveney,E05000616,44.9,100.2,72.6
Wandsworth - Latchmere,E05000617,40.7,74.6,70.6
Wandsworth - Nightingale,E05000618,63,64.5,81.3
Wandsworth - Northcote,E05000619,68.7,101.6,83.9
Wandsworth - Queenstown,E05000620,50,74.8,75.4
Wandsworth - Roehampton,E05000621,27.3,83.5,59.8
Wandsworth - St. Mary's Park,E05000622,52.1,76.6,77.4
Wandsworth - Shaftesbury,E05000623,61.7,79.8,83
Wandsworth - Southfields,E05000624,57.6,69.4,80.9
Wandsworth - Thamesfield,E05000625,68.6,96.2,83.4
Wandsworth - Tooting,E05000626,42.5,77.6,67.7
Wandsworth - Wandsworth Common,E05000627,53.9,58.8,71
Wandsworth - West Hill,E05000628,45.1,38,73.1
Wandsworth - West Putney,E05000629,48.7,51.3,72.6
Westminster - Abbey Road,E05000630,56.6,45.8,67.9
Westminster - Bayswater,E05000631,61.3,106.3,73.9
Westminster - Bryanston and Dorset Square,E05000632,58,170.5,66.6
Westminster - Churchill,E05000633,38.4,107.6,63.4
Westminster - Church Street,E05000634,26.4,80.9,48.7
Westminster - Harrow Road,E05000635,39.5,67.1,63.4
Westminster - Hyde Park,E05000636,54.7,152.6,62.4
Westminster - Knightsbridge and Belgravia,E05000637,47.8,177.1,56.5
Westminster - Lancaster Gate,E05000638,60.8,150.4,71.2
Westminster - Little Venice,E05000639,56.5,74.8,69.4
Westminster - Maida Vale,E05000640,52.2,59,70.4
Westminster - Marylebone High Street,E05000641,61.5,302.4,71.4
Westminster - Queen's Park,E05000642,30.3,62.2,59
Westminster - Regent's Park,E05000643,52.2,66.6,62.4
Westminster - St. James's,E05000644,49.9,990,67.7
Westminster - Tachbrook,E05000645,55.1,57.7,75.2
Westminster - Vincent Square,E05000646,53.1,82.4,69
Westminster - Warwick,E05000647,58.5,138.1,73.8
Westminster - Westbourne,E05000648,35.7,75.5,59
Westminster - West End,E05000649,54.6,1212.1,71.3
